,Date,Holiday
0,2018-01-01,New Year's Day
1,2018-01-15,"Martin Luther King, Jr. Day"
2,2018-02-14,Valentine's Day
3,2018-02-19,Washington's Birthday
4,2018-04-01,Western Easter
5,2018-04-08,Eastern Easter
6,2018-05-28,Memorial Day
7,2018-06-19,Juneteenth
8,2018-07-04,4th of July
9,2018-09-01,Labor Day Weekend
10,2018-09-02,Labor Day Weekend
11,2018-09-03,Labor Day
12,2018-10-08,Columbus Day
13,2018-11-11,Veterans Day
14,2018-11-21,Thanksgiving Eve
15,2018-11-22,Thanksgiving Day
16,2018-11-23,Black Friday
17,2018-12-24,Christmas Eve
18,2018-12-25,Christmas Day
19,2018-12-31,New Year's Eve
20,2019-01-01,New Year's Day
21,2019-01-21,"Martin Luther King, Jr. Day"
22,2019-02-14,Valentine's Day
23,2019-02-18,Washington's Birthday
24,2019-04-21,Western Easter
25,2019-04-28,Eastern Easter
26,2019-05-27,Memorial Day
27,2019-06-19,Juneteenth
28,2019-07-04,4th of July
29,2019-08-31,Labor Day Weekend
30,2019-09-01,Labor Day Weekend
31,2019-09-02,Labor Day
32,2019-10-14,Columbus Day
33,2019-11-11,Veterans Day
34,2019-11-27,Thanksgiving Eve
35,2019-11-28,Thanksgiving Day
36,2019-11-29,Black Friday
37,2019-12-24,Christmas Eve
38,2019-12-25,Christmas Day
39,2019-12-31,New Year's Eve
40,2020-01-01,New Year's Day
41,2020-01-20,"Martin Luther King, Jr. Day"
42,2020-02-14,Valentine's Day
43,2020-02-17,Washington's Birthday
44,2020-04-12,Western Easter
45,2020-04-19,Eastern Easter
46,2020-05-25,Memorial Day
47,2020-06-19,Juneteenth
48,2020-07-04,4th of July
49,2020-09-05,Labor Day Weekend
50,2020-09-06,Labor Day Weekend
51,2020-09-07,Labor Day
52,2020-10-12,Columbus Day
53,2020-11-11,Veterans Day
54,2020-11-25,Thanksgiving Eve
55,2020-11-26,Thanksgiving Day
56,2020-11-27,Black Friday
57,2020-12-24,Christmas Eve
58,2020-12-25,Christmas Day
59,2020-12-31,New Year's Eve
60,2021-01-01,New Year's Day
61,2021-01-18,"Martin Luther King, Jr. Day"
62,2021-02-14,Valentine's Day
63,2021-02-15,Washington's Birthday
64,2021-04-04,Western Easter
65,2021-05-02,Eastern Easter
66,2021-05-31,Memorial Day
67,2021-06-19,Juneteenth
68,2021-07-04,4th of July
69,2021-09-04,Labor Day Weekend
70,2021-09-05,Labor Day Weekend
71,2021-09-06,Labor Day
72,2021-10-11,Columbus Day
73,2021-11-11,Veterans Day
74,2021-11-24,Thanksgiving Eve
75,2021-11-25,Thanksgiving Day
76,2021-11-26,Black Friday
77,2021-12-24,Christmas Eve
78,2021-12-25,Christmas Day
79,2021-12-31,New Year's Eve
80,2022-01-01,New Year's Day
81,2022-01-17,"Martin Luther King, Jr. Day"
82,2022-02-14,Valentine's Day
83,2022-02-21,Washington's Birthday
84,2022-04-17,Western Easter
85,2022-04-24,Eastern Easter
86,2022-05-30,Memorial Day
87,2022-06-19,Juneteenth
88,2022-07-04,4th of July
89,2022-09-03,Labor Day Weekend
90,2022-09-04,Labor Day Weekend
91,2022-09-05,Labor Day
92,2022-10-10,Columbus Day
93,2022-11-11,Veterans Day
94,2022-11-23,Thanksgiving Eve
95,2022-11-24,Thanksgiving Day
96,2022-11-25,Black Friday
97,2022-12-24,Christmas Eve
98,2022-12-25,Christmas Day
99,2022-12-31,New Year's Eve
100,2023-01-01,New Year's Day
101,2023-01-16,"Martin Luther King, Jr. Day"
102,2023-02-14,Valentine's Day
103,2023-02-20,Washington's Birthday
104,2023-04-09,Western Easter
105,2023-04-16,Eastern Easter
106,2023-05-29,Memorial Day
107,2023-06-19,Juneteenth
108,2023-07-04,4th of July
109,2023-09-02,Labor Day Weekend
110,2023-09-03,Labor Day Weekend
111,2023-09-04,Labor Day
112,2023-10-09,Columbus Day
113,2023-11-11,Veterans Day
114,2023-11-22,Thanksgiving Eve
115,2023-11-23,Thanksgiving Day
116,2023-11-24,Black Friday
117,2023-12-24,Christmas Eve
118,2023-12-25,Christmas Day
119,2023-12-31,New Year's Eve
120,2024-01-01,New Year's Day
121,2024-01-15,"Martin Luther King, Jr. Day"
122,2024-02-14,Valentine's Day
123,2024-02-19,Washington's Birthday
124,2024-03-31,Western Easter
125,2024-04-07,Eastern Easter
126,2024-05-27,Memorial Day
127,2024-06-19,Juneteenth
128,2024-07-04,4th of July
129,2024-08-31,Labor Day Weekend
130,2024-09-01,Labor Day Weekend
131,2024-09-02,Labor Day
132,2024-10-14,Columbus Day
133,2024-11-11,Veterans Day
134,2024-11-27,Thanksgiving Eve
135,2024-11-28,Thanksgiving Day
136,2024-11-29,Black Friday
137,2024-12-24,Christmas Eve
138,2024-12-25,Christmas Day
139,2024-12-31,New Year's Eve
